size,zdd_size,gen_time,gen_memory,comp_time,comp_memory,compression_rate,comp_timeParArbe,compression_rateParArbe,arbre_compression_memory
0, 1, 0.000008, 608.000000, 0.000004, 824.000000, 0.000000, 0.000003, 0.000000, 800.000000
1800, 4095, 0.001098, 1021688.000000, 0.012572, 8967744.000000, 0.426374, 0.004105, 0.389744, 4822168.000000
3600, 8191, 0.001461, 2158856.000000, 0.026553, 23009168.000000, 0.417531, 0.011243, 0.405811, 11068696.000000
5400, 16383, 0.005811, 4737960.000000, 0.069450, 42834384.000000, 0.563267, 0.038516, 0.555454, 20530384.000000
7200, 16383, 0.007354, 5064144.000000, 0.120408, 60718632.000000, 0.409571, 0.030033, 0.375267, 25977640.000000
9000, 32767, 0.011816, 9961800.000000, 0.164836, 93403920.000000, 0.634541, 0.048956, 0.609333, 41033792.000000
10800, 32767, 0.020538, 10340160.000000, 0.201980, 117173816.000000, 0.564104, 0.041559, 0.552568, 46419960.000000
12600, 32767, 0.010846, 10536672.000000, 0.193266, 143277152.000000, 0.487930, 0.046012, 0.464064, 51439096.000000
14400, 32767, 0.015136, 11275392.000000, 0.272899, 174744656.000000, 0.411939, 0.056865, 0.397351, 58099120.000000
16200, 32767, 0.013111, 11575056.000000, 0.283740, 208148968.000000, 0.350780, 0.064270, 0.324656, 64338904.000000
18000, 65535, 0.022766, 22417808.000000, 0.428623, 271707832.000000, 0.634195, 0.085471, 0.624979, 92945736.000000
19800, 65535, 0.026771, 22760600.000000, 0.684437, 312347344.000000, 0.596506, 0.103443, 0.579110, 98873088.000000
21600, 65535, 0.022147, 23454752.000000, 0.578929, 356422496.000000, 0.563272, 0.087795, 0.550790, 104906704.000000
23400, 65535, 0.019370, 23964464.000000, 0.625726, 403624472.000000, 0.526040, 0.097458, 0.503365, 112247344.000000
25200, 65535, 0.021647, 23800544.000000, 0.648707, 454989672.000000, 0.489876, 0.091923, 0.475349, 115873944.000000
27000, 65535, 0.020659, 24413240.000000, 0.726710, 512118752.000000, 0.451270, 0.130357, 0.427192, 127079376.000000
