size,treesize,zdd_size
100, 65535, 44597
600, 65535, 46005
1100, 65535, 44495
1600, 65535, 45145
2100, 65535, 45859
2600, 65535, 44411
3100, 65535, 45177
3600, 65535, 46769
4100, 65535, 45311
4600, 65535, 45099
5100, 65535, 44933
5600, 65535, 44789
6100, 65535, 45021
6600, 65535, 44253
7100, 65535, 45049
7600, 65535, 44147
8100, 65535, 46167
8600, 65535, 45577
9100, 65535, 45507
9600, 65535, 44349
10100, 65535, 46275
10600, 65535, 45045
11100, 65535, 45247
11600, 65535, 45531
12100, 65535, 44511
12600, 65535, 45713
13100, 65535, 44487
13600, 65535, 45009
14100, 65535, 45123
14600, 65535, 45191
15100, 65535, 46351
15600, 65535, 45209
16100, 65535, 45203
16600, 65535, 44027
17100, 65535, 45151
17600, 65535, 45389
18100, 65535, 44191
18600, 65535, 46143
19100, 65535, 44079
19600, 65535, 46421
20100, 65535, 45993
20600, 65535, 45219
21100, 65535, 45713
21600, 65535, 44175
22100, 65535, 44785
22600, 65535, 44719
23100, 65535, 45249
23600, 65535, 44373
24100, 65535, 44147
24600, 65535, 44091
25100, 65535, 44889
25600, 65535, 43673
26100, 65535, 46205
26600, 65535, 45191
27100, 65535, 45019
27600, 65535, 45561
28100, 65535, 44809
28600, 65535, 45369
29100, 65535, 45369
29600, 65535, 46215
30100, 65535, 44749
30600, 65535, 45829
31100, 65535, 44463
31600, 65535, 45449
32100, 65535, 47053
32600, 65535, 45841
33100, 65535, 44313
33600, 65535, 43891
34100, 65535, 44223
34600, 65535, 45209
35100, 65535, 45423
35600, 65535, 45887
36100, 65535, 44065
36600, 65535, 45005
37100, 65535, 46227
37600, 65535, 46431
38100, 65535, 45379
38600, 65535, 45097
39100, 65535, 44177
39600, 65535, 46205
40100, 65535, 45013
40600, 65535, 44859
41100, 65535, 44245
41600, 65535, 45257
42100, 65535, 46085
42600, 65535, 45799
43100, 65535, 45869
43600, 65535, 45329
44100, 65535, 46443
44600, 65535, 44655
45100, 65535, 45123
45600, 65535, 44265
46100, 65535, 44125
46600, 65535, 45027
47100, 65535, 44791
47600, 65535, 46147
48100, 65535, 46855
48600, 65535, 44603
49100, 65535, 45459
49600, 65535, 46083
50100, 65535, 45677
50600, 65535, 44347
51100, 65535, 44963
51600, 65535, 45053
52100, 65535, 44681
52600, 65535, 45313
53100, 65535, 44877
53600, 65535, 45905
54100, 65535, 44789
54600, 65535, 45173
55100, 65535, 44719
55600, 65535, 45475
56100, 65535, 44397
56600, 65535, 44323
57100, 65535, 44291
57600, 65535, 45897
58100, 65535, 47231
58600, 65535, 45225
59100, 65535, 45105
59600, 65535, 45543
60100, 65535, 45059
60600, 65535, 45895
61100, 65535, 45539
61600, 65535, 45539
62100, 65535, 45329
62600, 65535, 44563
63100, 65535, 44481
63600, 65535, 45331
64100, 65535, 44875
64600, 65535, 45189
65100, 65535, 45699
65600, 65535, 45099
66100, 65535, 45073
66600, 65535, 44983
67100, 65535, 46385
67600, 65535, 46083
68100, 65535, 44271
68600, 65535, 45109
69100, 65535, 43941
69600, 65535, 45833
70100, 65535, 44335
70600, 65535, 44395
71100, 65535, 44185
71600, 65535, 45205
72100, 65535, 44695
72600, 65535, 45789
73100, 65535, 44633
73600, 65535, 44737
74100, 65535, 43771
74600, 65535, 44991
75100, 65535, 45489
75600, 65535, 45173
76100, 65535, 44967
76600, 65535, 44213
77100, 65535, 43845
77600, 65535, 45565
78100, 65535, 44973
78600, 65535, 44943
79100, 65535, 45305
79600, 65535, 45785
80100, 65535, 43989
80600, 65535, 44805
81100, 65535, 45175
81600, 65535, 46455
82100, 65535, 45267
82600, 65535, 45113
83100, 65535, 45269
83600, 65535, 44859
84100, 65535, 44729
84600, 65535, 45417
85100, 65535, 43953
85600, 65535, 45447
86100, 65535, 45165
86600, 65535, 45097
87100, 65535, 44969
87600, 65535, 44973
88100, 65535, 46293
88600, 65535, 46351
89100, 65535, 44923
89600, 65535, 46327
90100, 65535, 45145
90600, 65535, 45181
91100, 65535, 45029
91600, 65535, 45937
92100, 65535, 44829
92600, 65535, 45955
93100, 65535, 45015
93600, 65535, 45245
94100, 65535, 44669
94600, 65535, 46073
95100, 65535, 45835
95600, 65535, 44217
96100, 65535, 44865
96600, 65535, 44949
97100, 65535, 45037
97600, 65535, 44853
98100, 65535, 45095
98600, 65535, 43925
99100, 65535, 44975
99600, 65535, 44185
100100, 65535, 43897
100600, 65535, 45099
101100, 65535, 44901
101600, 65535, 44131
102100, 65535, 45017
102600, 65535, 43995
103100, 65535, 45589
103600, 65535, 45231
104100, 65535, 45265
104600, 65535, 44801
105100, 65535, 44189
105600, 65535, 46337
106100, 65535, 45213
106600, 65535, 44723
107100, 65535, 44865
107600, 65535, 44499
108100, 65535, 45245
108600, 65535, 45127
109100, 65535, 45259
109600, 65535, 44007
110100, 65535, 45045
110600, 65535, 45905
111100, 65535, 45453
111600, 65535, 44449
112100, 65535, 45551
112600, 65535, 44931
113100, 65535, 45357
113600, 65535, 44343
114100, 65535, 44915
114600, 65535, 44791
115100, 65535, 45239
115600, 65535, 47043
116100, 65535, 44441
116600, 65535, 45199
117100, 65535, 45083
117600, 65535, 45509
118100, 65535, 45091
118600, 65535, 45119
119100, 65535, 44779
119600, 65535, 46183
120100, 65535, 44879
120600, 65535, 44181
121100, 65535, 44687
121600, 65535, 44291
122100, 65535, 45179
122600, 65535, 43735
123100, 65535, 44761
123600, 65535, 44981
124100, 65535, 45061
124600, 65535, 44009
125100, 65535, 45475
125600, 65535, 45397
126100, 65535, 45171
126600, 65535, 44265
127100, 65535, 44899
127600, 65535, 44369
128100, 65535, 46367
128600, 65535, 45995
129100, 65535, 44387
129600, 65535, 45925
130100, 65535, 45701
130600, 65535, 44831
131100, 65535, 46157
131600, 65535, 46089
132100, 65535, 45031
132600, 65535, 44567
133100, 65535, 44491
133600, 65535, 45129
134100, 65535, 45145
134600, 65535, 44425
135100, 65535, 44965
135600, 65535, 44791
136100, 65535, 44909
136600, 65535, 45961
137100, 65535, 44277
137600, 65535, 46517
138100, 65535, 45327
138600, 65535, 45111
139100, 65535, 45389
139600, 65535, 44673
140100, 65535, 43989
140600, 65535, 45551
141100, 65535, 44473
141600, 65535, 45193
142100, 65535, 45181
142600, 65535, 45227
