size,treesize,compression_rate,compression_rateParArbe
100, 255, 0.509804, 0.509804
2100, 8191, 0.664876, 0.657795
4100, 8191, 0.340618, 0.313759
6100, 16383, 0.508210, 0.490753
8100, 16383, 0.344259, 0.298846
10100, 32767, 0.593280, 0.579546
12100, 32767, 0.515030, 0.481826
14100, 32767, 0.430860, 0.416944
16100, 32767, 0.358776, 0.341929
18100, 65535, 0.640543, 0.622995
20100, 65535, 0.596902, 0.587900
22100, 65535, 0.557168, 0.524910
24100, 65535, 0.520424, 0.509010
26100, 65535, 0.478828, 0.455726
28100, 65535, 0.436957, 0.412146
30100, 65535, 0.390143, 0.353185
32100, 65535, 0.358495, 0.330724
34100, 131071, 0.657369, 0.641667
36100, 131071, 0.639730, 0.619069
38100, 131071, 0.621556, 0.602650
40100, 131071, 0.599614, 0.579732
42100, 131071, 0.578740, 0.558186
44100, 131071, 0.558308, 0.536595
46100, 131071, 0.536701, 0.502979
48100, 131071, 0.515751, 0.480915
50100, 131071, 0.496265, 0.470096
52100, 131071, 0.476520, 0.447803
54100, 131071, 0.458774, 0.443943
56100, 131071, 0.439472, 0.411701
58100, 131071, 0.419330, 0.385562
60100, 131071, 0.397845, 0.368854
62100, 131071, 0.377673, 0.344805
64100, 131071, 0.357821, 0.322817
66100, 262143, 0.668978, 0.644320
68100, 262143, 0.657374, 0.638545
70100, 262143, 0.649775, 0.631022
72100, 262143, 0.640444, 0.614726
74100, 262143, 0.630442, 0.607516
76100, 262143, 0.620753, 0.610697
78100, 262143, 0.608248, 0.596445
80100, 262143, 0.599512, 0.578768
82100, 262143, 0.590456, 0.569392
84100, 262143, 0.580202, 0.557490
86100, 262143, 0.569994, 0.539156
88100, 262143, 0.557856, 0.524630
90100, 262143, 0.549196, 0.513514
92100, 262143, 0.536005, 0.521051
94100, 262143, 0.529993, 0.505655
96100, 262143, 0.517656, 0.491060
98100, 262143, 0.508638, 0.492205
100100, 262143, 0.497255, 0.471254
102100, 262143, 0.488543, 0.451563
104100, 262143, 0.478502, 0.449381
106100, 262143, 0.470224, 0.441103
108100, 262143, 0.455255, 0.424562
110100, 262143, 0.449182, 0.417528
112100, 262143, 0.438928, 0.406740
114100, 262143, 0.431085, 0.386118
116100, 262143, 0.420908, 0.377344
118100, 262143, 0.410303, 0.366350
120100, 262143, 0.398462, 0.359529
122100, 262143, 0.388414, 0.344171
124100, 262143, 0.377161, 0.360002
126100, 262143, 0.368150, 0.337427
128100, 262143, 0.355714, 0.321290
130100, 262143, 0.346155, 0.294297
132100, 524287, 0.668783, 0.652086
134100, 524287, 0.665479, 0.653055
136100, 524287, 0.658780, 0.640310
138100, 524287, 0.654153, 0.637201
140100, 524287, 0.651040, 0.631917
142100, 524287, 0.644346, 0.632077
144100, 524287, 0.639947, 0.626695
146100, 524287, 0.633302, 0.615331
148100, 524287, 0.629472, 0.600106
